name,eta1,eta2,Beta,kappa,T,R,S,P,NE(C),CD,CD_Pred,REU,QRE,FS,CRRA,CD_kappa,CD_kappa_pred,,,NE1,NE2,NE3,NE4,NE5,NE6
AC1,5,10,1,20,26,16,29,9,0.666666667,2,0.308783224,0.840612368,,0.643364121,0.741484006,0.1,0.484188873,,,0.666666667,,,,,
AC2,5,10,2,20,27,17,28,8,0.666666667,4,0.351670317,0.840612368,,0.65871383,0.778520406,0.2,0.69084946,,,0.666666667,,,,,
AC3,5,10,3,20,28,18,27,7,0.666666667,6,0.397092053,0.840612368,,0.674813884,0.812972963,0.3,0.841769421,,,0.666666667,,,,,
AC4,5,10,4,20,29,19,26,6,0.666666667,8,0.444359496,0.840612368,,0.691720679,0.844861427,0.4,0.92681829,,,0.666666667,,,,,
AC5,5,10,5,20,30,20,25,5,0.666666667,10,0.492655828,0.840612368,,0.709496411,0.874262018,0.5,0.967896845,,,0.666666667,,,,,
AC6,5,5,1,20,26,16,24,14,0.5,1,0.288461397,0.743182761,,0.518790509,0.543863437,0.05,0.378258826,,,,0.5,,,,
AC7,5,5,3,20,28,18,22,12,0.5,3,0.329872981,0.743182761,,0.56095287,0.630051126,0.15,0.591559012,,,,0.5,,,,
AC8,5,5,5,20,30,20,20,10,0.5,5,0.374103904,0.743182761,,0.610574565,0.71178313,0.25,0.77517617,,,,0.5,,,,
AC9,5,5,7,20,32,22,18,8,0.5,7,0.420543664,0.743182761,,0.669827251,0.786597119,0.35,0.891401021,,,,0.5,,,,
AC10,5,5,9,20,34,24,16,6,0.5,9,0.468433739,0.743182761,,0.741816165,0.852698399,0.45,0.951315803,,,,0.5,,,,
AC11,2,8,1,20,23,19,27,11,0.8,4,0.351670317,0.908870612,,0.745962701,0.844059294,0.2,0.69084946,,,,,0.8,,,
AC12,2,8,2,20,24,20,26,10,0.8,8,0.444359496,0.908870612,,0.772036945,0.866972838,0.4,0.92681829,,,,,0.8,,,
AC13,2,8,3,20,25,21,25,9,0.8,12,0.541089625,0.908870612,,0.8,0.887521675,0.6,0.986258939,,,,,0.8,,,
AC14,2,8,4,20,26,22,24,8,0.8,16,0.634819186,0.908870612,,0.830064815,0.90590148,0.8,0.997547639,,,,,0.8,,,
AC15,2,8,5,20,27,23,23,7,0.8,20,0.719334962,0.908870612,,0.862477601,0.922303371,1,0.999566406,,,,,0.8,,,
AC16,2,3,1,20,23,19,22,16,0.6,1.5,0.298522985,0.80352966,,0.622548611,0.641847183,0.075,0.430427936,,,,,,0.6,,
AC17,2,3,3,20,25,21,20,14,0.6,4.5,0.362812451,0.80352966,,0.732689478,0.715999823,0.225,0.735154375,,,,,,0.6,,
AC18,2,3,5,20,27,23,18,12,0.6,7.5,0.432412532,0.80352966,,0.890179398,0.782167876,0.375,0.910680492,,,,,,0.6,,
AC19,2,3,7,20,29,25,16,10,0.6,10.5,0.504786954,0.80352966,,1,0.839481068,0.525,0.973992306,,,,,,0.6,,
AC20,2,3,9,20,31,27,14,8,0.6,13.5,0.576961317,0.80352966,,1,0.887677331,0.675,0.992782836,,,,,,0.6,,
AC21,1.5,3.5,0.5,20,22,19,23,16,0.7,1.166666667,0.291792816,0.858359598,,0.675532327,0.721195785,0.058333333,0.395400934,,,,,,,0.7,
AC22,1.5,3.5,1.5,20,23,20,22,15,0.7,3.5,0.340687408,0.858359598,,0.726306713,0.753962517,0.175,0.642734792,,,,,,,0.7,
AC23,1.5,3.5,2.5,20,24,21,21,14,0.7,5.833333333,0.393225942,0.858359598,,0.785334017,0.784320381,0.291666667,0.83190275,,,,,,,0.7,
AC24,1.5,3.5,3.5,20,25,22,20,13,0.7,8.166666667,0.448356862,0.858359598,,0.854804391,0.812283198,0.408333333,0.931572035,,,,,,,0.7,
AC25,1.5,3.5,4.5,20,26,23,19,12,0.7,10.5,0.504786954,0.858359598,,0.937758151,0.837896885,0.525,0.973992306,,,,,,,0.7,
AC26,0.5,4.5,0.5,20,21,20,24,15,0.9,4.5,0.362812451,0.955886078,,0.811791162,0.910518274,0.225,0.735154375,,,,,,,,0.9
AC27,0.5,4.5,1.5,20,22,21,23,14,0.9,13.5,0.576961317,0.955886078,,0.868541564,0.923508241,0.675,0.992782836,,,,,,,,0.9
AC28,0.5,4.5,2.5,20,23,22,22,13,0.9,22.5,0.765630581,0.955886078,,0.933822917,0.934875788,1.125,0.999853328,,,,,,,,0.9
AC29,0.5,4.5,3.5,20,24,23,21,12,0.9,31.5,0.886682243,0.955886078,,1,0.944822967,1.575,0.99999704,,,,,,,,0.9
AC30,0.5,4.5,4.5,20,25,24,20,11,0.9,40.5,0.949347215,0.955886078,,1,0.953525206,2.025,0.99999994,,,,,,,,0.9
